name,platform,year_of_release,genre,publisher,developer
Cabela's Monster Buck Hunter,Wii,2010,Sports,Activision,FUN Labs
Tony Hawk's Underground,GBA,2003,Sports,Activision,Vicarious Visions
Dark Souls II,PS4,2015,Role-Playing,Namco Bandai Games,
Monster Trucks,GBA,2004,Racing,Majesco Entertainment,Skyworks Technologies
World of Zoo,Wii,2009,Simulation,THQ,Blue Fang Games
Shadow The Hedgehog,PS2,2005,Platform,Sega,Sonic Team
Wave Race: Blue Storm,GC,2001,Racing,Nintendo,Nintendo
Aliens: Colonial Marines,PS3,2013,Shooter,Sega,Gearbox Software
Backyard Wrestling: Don't Try This at Home,PS2,2003,Fighting,Eidos Interactive,Paradox Development
Yakuza: Dead Souls,PS3,2011,Shooter,Sega,Ryu ga Gotoku Studios
Fight Night Round 2,XB,2005,Fighting,Electronic Arts,EA Sports
MonHun Nikki: Poka Poka Ailu Mura,PSP,2010,Role-Playing,Capcom,
Dead Island: Riptide,PS3,2013,Action,Deep Silver,Techland
Just Dance 2015,X360,2014,Misc,Ubisoft,Ubisoft
Kinect Sports Rivals,XOne,2014,Sports,Microsoft Game Studios,Microsoft Game Studios
NBA 2K8,PS2,2007,Sports,Take-Two Interactive,Visual Concepts
Dynasty Warriors 8,PS3,2013,Action,Tecmo Koei,Omega Force
Suikoden,PS,1995,Role-Playing,Konami Digital Entertainment,
Disney Infinity,WiiU,2013,Action,Disney Interactive Studios,Avalanche Software
Secret Agent Clank,PS2,2009,Platform,Sony Computer Entertainment,Sanzaru Games
Call of Juarez: Bound in Blood,X360,2009,Shooter,Ubisoft,Techland
Fighters Uncaged,X360,2010,Fighting,Ubisoft,Ubisoft
Rayman Arena,PS2,2001,Racing,Ubisoft,Ubisoft
Jaws Unleashed,PS2,2006,Action,THQ,Appaloosa Interactive
Puyo Puyo Sun,SAT,1997,Puzzle,Compile,
Half-Life,PS2,2001,Shooter,Vivendi Games,Gearbox Software
International Superstar Soccer 64,N64,1997,Sports,Konami Digital Entertainment,
Mickey's Speedway USA,N64,2000,Racing,Nintendo,
NASCAR Heat 2002,PS2,2001,Racing,Infogrames,Monster Games Inc.
Split/Second,X360,2010,Racing,Disney Interactive Studios,Black Rock Studio
The Golden Compass,DS,2007,Action,Sega,Artificial Mind and Movement
The Golden Compass,Wii,N/A,Action,Sega,Shiny Entertainment
"Transformers: The Game (XBox 360, PS2, PS3, Wii & PC Versions)",X360,2007,Action,Activision,
From TV Animation One Piece: Grand Battle 2,PS,2002,Fighting,Namco Bandai Games,
BeatMania Append 3rdMix,PS,1998,Simulation,Konami Digital Entertainment,
Muramasa: The Demon Blade,Wii,2009,Role-Playing,Rising Star Games,Vanillaware
Disney TH!NK Fast: The Ultimate Trivia Showdown,Wii,2008,Misc,Disney Interactive Studios,
 Frozen: Olaf's Quest,3DS,2013,Platform,Disney Interactive Studios,
Xena: Warrior Princess,PS,1998,Adventure,Electronic Arts,
Littlest Pet Shop: Garden,DS,2008,Simulation,Electronic Arts,Electronic Arts
Okami,Wii,2008,Action,Capcom,Ready at Dawn
New Play Control! Pikmin 2,Wii,2009,Strategy,Nintendo,
LEGO The Hobbit,PS4,2014,Action,Warner Bros. Interactive Entertainment,TT Games
Front Mission,SNES,1995,Strategy,SquareSoft,
WWE 2K17,PS4,2016,Sports,Take-Two Interactive,Yuke's
Just Dance 2014,WiiU,2013,Misc,Ubisoft,Ubisoft
New Play Control! Donkey Kong Jungle Beat,Wii,2008,Platform,Nintendo,
Wipeout: The Game,DS,2010,Misc,Activision,Endemol
Avatar: The Game,PSP,2009,Action,Ubisoft,
NHL 15,PS4,2014,Sports,Electronic Arts,EA Sports
Total War: Shogun 2,PC,2011,Strategy,Sega,Creative Assembly
Major League Baseball 2K7,PS2,2007,Sports,Spike,Kush Games
Dai-2-Ji Super Robot Taisen α,PS2,2003,Strategy,Banpresto,
PGR3 - Project Gotham Racing 3,X360,2005,Racing,Microsoft Game Studios,
Dragon Age: Inquisition,PS3,2014,Role-Playing,Electronic Arts,BioWare
SimCity DS,DS,2007,Simulation,Electronic Arts,Aki Corp.
New Carnival Games,Wii,2010,Misc,Take-Two Interactive,Cat Daddy Games
Hot Wheels: Stunt Track Challenge,PS2,2004,Racing,THQ,Climax Group
Littlest Pet Shop: Jungle,DS,2008,Simulation,Electronic Arts,Electronic Arts
Dai-3-Ji Super Robot Taisen α: Shuuen no Ginga e,PS2,2005,Strategy,Banpresto,
FIFA 15,PSV,2014,Sports,Electronic Arts,EA Sports
Jikkyou Powerful Pro Yakyuu '97 Kaimakuban,PS,1997,Sports,Konami Digital Entertainment,
Monopoly,X360,2008,Misc,Electronic Arts,EA Bright Light
Tony Hawk: RIDE,PS3,2009,Sports,Activision,Robomodo
CyberTiger,PS,1998,Sports,Electronic Arts,
Jampack Fall 2001,PS,2001,Misc,Sony Computer Entertainment,
Medal of Honor: Frontline,GC,2002,Shooter,Electronic Arts,Dreamworks Games
Dead Space,PC,2008,Action,Electronic Arts,EA Redwood Shores
NFL Blitz 2001,PS,2000,Sports,Midway Games,Midway
Jikkyou Powerful Pro Yakyuu '98 Kaimakuban,PS,1998,Sports,Konami Digital Entertainment,
Rock Band 2,PS2,2008,Misc,MTV Games,Harmonix Music Systems
NHL 11,PS3,2010,Sports,Electronic Arts,Electronic Arts
Yakuza 5,PS3,2012,Action,Sega,Ryu ga Gotoku Studios
BurgerTime,2600,1981,Puzzle,Mattel Interactive,
2002 FIFA World Cup,PS2,2002,Sports,Electronic Arts,EA Sports
MVP Baseball 2004,XB,2004,Sports,Electronic Arts,EA Sports
Crash Bandicoot: The Wrath of Cortex,GC,2002,Platform,Universal Interactive,Traveller's Tales
Smurf: Rescue In Gargamel's Castle,2600,1981,Action,Coleco,
Beijing 2008,X360,2008,Sports,Sega,
Pokemon Trozei!,DS,2005,Puzzle,Nintendo,
WWE 2K16,XOne,2015,Sports,Take-Two Interactive,Yuke's
Extreme-G,N64,1997,Racing,Acclaim Entertainment,
Ready 2 Rumble Boxing,N64,1999,Sports,Midway Games,
Assassin's Creed: Brotherhood,PC,2011,Action,Ubisoft,Ubisoft Montreal
Spelling Challenges and more!,DS,2007,Misc,505 Games,
Dead or Alive Xtreme Beach Volleyball,XB,2003,Sports,Microsoft Game Studios,Team Ninja
Tales of Rebirth,PS2,2004,Role-Playing,Namco Bandai Games,
Silent Hill: Shattered Memories,PS2,2010,Action,Konami Digital Entertainment,Climax Group
Disney Sing It: Family Hits,Wii,2010,Misc,Disney Interactive Studios,Disney Interactive Studios
Blur,X360,2010,Racing,Activision,Bizarre Creations
Barbie: Race & Ride,PS,1999,Action,Sony Computer Entertainment,
Kane & Lynch 2: Dog Days,PS3,2010,Shooter,Square Enix,
Madden NFL 06,X360,N/A,Sports,Electronic Arts,EA Tiburon
Asphalt: Urban GT,DS,2004,Racing,Ubisoft,Gameloft
Mega Man Anniversary Collection,PS2,2004,Platform,Capcom,Atomic Planet Entertainment
Metal Gear Solid V: Ground Zeroes,PS3,2014,Action,Konami Digital Entertainment,Kojima Productions
Harvest Moon: Friends of Mineral Town,GBA,2003,Simulation,Ubisoft,TOSE
Backyard NBA Basketball,PS2,2003,Sports,Atari,
Ben 10: Alien Force,PSP,2008,Action,Koch Media,Monkey Bar Games
Naruto: The Broken Bond,X360,2008,Action,Ubisoft,Ubisoft Montreal
Kirby's Dream Course,SNES,1994,Sports,Nintendo,
WarioWare D.I.Y.,DS,2009,Misc,Nintendo,Intelligent Systems
Iron Man,Wii,2008,Action,Sega,Artificial Mind and Movement
The Fight: Lights Out,PS3,2010,Fighting,Sony Computer Entertainment,Coldwood Interactive
Mega Man X7,PS2,2003,Action,Capcom,"Valuewave Co.,Ltd."
Deus Ex: Human Revolution,PC,2011,Shooter,Square Enix,Nixxes Software
SpongeBob SquarePants featuring Nicktoons: Globs of Doom,PS2,2008,Action,THQ,Incinerator Games
Final Fantasy Anniversary Edition,PSP,2007,Role-Playing,Square Enix,TOSE
LEGO Indiana Jones 2: The Adventure Continues,PSP,2009,Action,Activision,Traveller's Tales
SoulCalibur V,X360,2012,Fighting,Namco Bandai Games,Project Soul
Tokimeki Memorial: Forever with You,PS,1995,Simulation,Konami Digital Entertainment,
Diablo,PS,1997,Role-Playing,Electronic Arts,
Q*bert,2600,1982,Puzzle,Parker Bros.,
Romancing SaGa,PS2,2005,Role-Playing,Square Enix,Square Enix
Lost: Via Domus,X360,2008,Action,Ubisoft,Ubisoft Montreal
Top Spin 3,Wii,2008,Action,Take-Two Interactive,Pam Development
Game Party in Motion,X360,2010,Misc,Warner Bros. Interactive Entertainment,Farsight Studios
The Lord of the Rings: The Third Age,PS2,2004,Role-Playing,Electronic Arts,EA Games
Call of Duty: Black Ops,DS,2010,Shooter,Activision,n-Space
Disney Sing It! High School Musical 3: Senior Year,Wii,2008,Misc,Disney Interactive Studios,
NCAA Football 09,PS3,2008,Sports,Electronic Arts,EA Tiburon
Sonic & All-Stars Racing Transformed,X360,2012,Racing,Sega,
MLB 11: The Show,PS3,2011,Sports,Sony Computer Entertainment,SCEA San Diego Studios
Jeopardy!,Wii,2010,Misc,THQ,
"Transformers: War for Cybertron (XBox 360, PS3, & PC Versions)",X360,2010,Shooter,Activision,
Kinect Rush: A Disney Pixar Adventure,X360,2012,Adventure,Microsoft Game Studios,Asobo Studio
Sammy Sosa High Heat Baseball 2001,PS,2000,Sports,3DO,
Skylanders SWAP Force,WiiU,2013,Platform,Activision,Vicarious Visions
Terminator 3: Rise of the Machines,PS2,2003,Action,Atari,Black Ops Entertainment
Guitar Hero: Smash Hits,Wii,2009,Misc,Activision,Beenox
Tom Clancy's HAWX,X360,2009,Action,Ubisoft,Ubisoft Romania
Alice: Madness Returns,PS3,2011,Adventure,Electronic Arts,Spicy Horse
Shin Megami Tensei IV,3DS,2013,Role-Playing,Atlus,Atlus
NBA 2K7,X360,2006,Sports,Take-Two Interactive,"Kush Games, Visual Concepts"
International Superstar Soccer '98,N64,1998,Sports,Konami Digital Entertainment,
FIFA: Road to  World Cup 98,N64,1997,Sports,Electronic Arts,
World Cup 98,N64,1998,Sports,Electronic Arts,
NHL 12,PS3,2011,Sports,Electronic Arts,Electronic Arts
NASCAR: Dirt to Daytona,PS2,N/A,Racing,Unknown,Monster Games Inc.
Unreal Tournament,PS2,2000,Shooter,Infogrames,Epic Games
Digimon World 2,PS,2000,Role-Playing,Namco Bandai Games,Bandai
Tales of Phantasia,PS,1998,Role-Playing,Namco Bandai Games,
Prince of Persia: The Two Thrones,XB,2005,Action,Ubisoft,Ubisoft
Xenosaga Episode II: Jenseits von Gut und Böse,PS2,2004,Role-Playing,Sony Computer Entertainment,
Gex: Enter the Gecko,PS,1998,Platform,BMG Interactive Entertainment,
Shrek 2: Beg for Mercy,GBA,2004,Adventure,Activision,
FIFA Soccer 10,DS,2009,Sports,Electronic Arts,Exient Entertainment
JoJo's Bizarre Adventure: All Star Battle,PS3,2013,Fighting,Namco Bandai Games,CyberConnect2
Contra: Shattered Soldier,PS2,2002,Shooter,Konami Digital Entertainment,KCET
Championship Motocross featuring Ricky Carmichael,PS,1998,Racing,THQ,
Dragon Ball Z: Chou Saiya Densetsu,SNES,1992,Role-Playing,Namco Bandai Games,
Final Fantasy: The 4 Heroes of Light,DS,2009,Role-Playing,Square Enix,Matrix Software
Rayman Legends,PS3,2013,Platform,Ubisoft,Ubisoft Montpellier
Fire Emblem: Seisen no Keifu,SNES,1996,Strategy,Nintendo,
FIFA Soccer,PSV,2012,Sports,Electronic Arts,Electronic Arts
Tenchu 2: Birth of the Stealth Assassins,PS,2000,Action,Activision,Acquire
Tony Hawk's Pro Skater 4,GC,2002,Sports,Activision,Neversoft Entertainment
Go Diego Go! Great Dinosaur Rescue,Wii,2008,Action,Take-Two Interactive,
Naruto: Uzumaki Chronicles 2,PS2,2006,Action,Namco Bandai Games,Cavia Inc.
NHL 06,PS2,2005,Sports,Electronic Arts,EA Canada
Parasite Eve II,PS,1999,Role-Playing,SquareSoft,SquareSoft
NFL Blitz 2000,N64,1999,Sports,Midway Games,
Skate it,Wii,2008,Sports,Electronic Arts,Electronic Arts
Pro Evolution Soccer 2015,PS3,2014,Sports,Konami Digital Entertainment,Konami
London 2012: The Official Video Game of the Olympic Games,X360,2012,Sports,Sega,
Madden NFL 2002,XB,N/A,Sports,Unknown,EA Sports
NCAA Football 10,PS2,2009,Sports,Electronic Arts,EA Tiburon
Phineas and Ferb: Across the 2nd Dimension,Wii,2011,Action,Disney Interactive Studios,High Impact Games
Theme Park,PS,1994,Simulation,Electronic Arts,
Far Cry Instincts,XB,2005,Shooter,Ubisoft,Ubisoft Montreal
Hasbro Family Game Night,PS2,2008,Puzzle,Electronic Arts,EA Bright Light
Tony Hawk's Pro Skater 4,GBA,2002,Sports,Activision,Vicarious Visions
ATV Offroad Fury: Blazin' Trails,PSP,2005,Racing,SouthPeak Games,Climax Group
Tales of the Abyss,PS2,2005,Role-Playing,Namco Bandai Games,Namco
Payday 2,X360,2013,Shooter,505 Games,Overkill Software
Mobile Suit Gundam: Giren no Yabou- Zeon no Keifu,PS,2000,Strategy,Namco Bandai Games,
Blacksite: Area 51,X360,2007,Shooter,Midway Games,Midway Studios - Austin
Spyro Orange: The Cortex Conspiracy,GBA,2004,Action,Vivendi Games,Vicarious Visions
XCOM: Enemy Unknown,PS3,2012,Strategy,Take-Two Interactive,Firaxis Games
Petz Dogz 2,Wii,2007,Simulation,Ubisoft,Ubisoft
Beyond The Beyond,PS,1995,Role-Playing,Sony Computer Entertainment,
Ben 10: Alien Force,PS2,2008,Action,Koch Media,Monkey Bar Games
Skylanders: Spyro's Adventure,3DS,2011,Action,Activision,Vicarious Visions
Cabela's Dangerous Hunts 2011,Wii,2010,Sports,Activision,Activision
The Sims 3: World Adventures,PC,2009,Simulation,Electronic Arts,The Sims Studio
Madden NFL 06,GC,2005,Sports,Electronic Arts,EA Sports
Mega Man Star Force 2: Zerker x Ninja / Saurian,DS,2007,Action,Capcom,
Titanfall 2,XOne,2016,Shooter,Electronic Arts,Respawn Entertainment
BlazBlue: Calamity Trigger,PS3,2009,Fighting,PQube,Arc System Works
"Transformers: The Game (XBox 360, PS2, PS3, Wii & PC Versions)",Wii,2007,Action,Activision,
Iron Man,X360,2008,Action,Sega,Secret Level
Naruto: Ultimate Ninja 2,PS2,2004,Fighting,Namco Bandai Games,CyberConnect2
The Mysterious Murasame Castle,NES,1986,Action,Nintendo,
NBA Hangtime,N64,1997,Sports,GT Interactive,
NHL 10,PS3,2009,Sports,Electronic Arts,EA Canada
Zumba Fitness,PS3,2010,Sports,505 Games,"Pipeworks Software, Inc."
Rock Band 3,PS3,2010,Misc,MTV Games,Harmonix Music Systems
Blood Wake,XB,2001,Shooter,Microsoft Game Studios,Stormfront Studios
Dynasty Warriors 5: Xtreme Legends,PS2,2005,Action,Tecmo Koei,Omega Force
Rapala: We Fish,Wii,2009,Sports,Activision,Activision
Harvest Moon: Sunshine Islands,DS,2008,Simulation,Rising Star Games,
WWE 2K15,XOne,2014,Sports,Take-Two Interactive,Yuke's
Jampack Summer 2002,PS2,2002,Misc,Sony Computer Entertainment,
FIFA World Cup Germany 2006,PS2,2006,Sports,Electronic Arts,EA Canada
Wreckless: ThE YaKuza MisSiOns,XB,2002,Racing,Activision,Bunkasha Publishing
Super Bomberman,SNES,1992,Puzzle,Hudson Soft,
Defiance,X360,2013,Shooter,Trion Worlds,Trion Worlds
Disgaea 4: A Promise Unforgotten,PS3,2011,Role-Playing,Nippon Ichi Software,Nippon Ichi Software
SpongeBob SquarePants featuring Nicktoons: Globs of Doom,DS,2008,Action,THQ,Natsume
SpongeBob SquarePants: Battle for Bikini Bottom,XB,2003,Platform,THQ,Heavy Iron Studios
Doom 3 BFG Edition,PS3,2012,Shooter,Bethesda Softworks,id Software
SD Gundam G Generation Neo,PS2,2002,Strategy,Namco Bandai Games,
Spider-Man 3,X360,2007,Platform,Activision,Treyarch
Pro Evolution Soccer 2012,PSP,2011,Action,Konami Digital Entertainment,Konami
The Conduit,Wii,2009,Shooter,Sega,High Voltage Software
Trivial Pursuit,Wii,2009,Misc,Electronic Arts,EA Bright Light
Just Dance 2016,WiiU,2015,Misc,Ubisoft,Ubisoft
Disney Universe,X360,2011,Action,Disney Interactive Studios,Eurocom Entertainment Software
RalliSport Challenge,XB,2002,Racing,Microsoft Game Studios,Digital Illusions
Resident Evil Outbreak File #2,PS2,2004,Action,Capcom,Capcom
Top Spin 3,PS3,2008,Action,Take-Two Interactive,Pam Development
Bob the Builder: Can We Fix It?,PS,2000,Action,THQ,
XIII,PS2,2003,Shooter,Ubisoft,Ubisoft Paris
Tomb Raider: Anniversary,PSP,2007,Action,Eidos Interactive,Crystal Dynamics
Bratz 4 Real,DS,2007,Adventure,THQ,THQ
Rune Factory 4,3DS,2012,Role-Playing,Xseed Games,Neverland
3D Dot Game Heroes,PS3,2009,Role-Playing,SouthPeak Games,Silicon Studio
Up,Wii,2009,Action,THQ,Asobo Studio
Breath of Fire IV,PS,2000,Role-Playing,Capcom,Capcom
Tales of Zestiria,PS3,2015,Role-Playing,Namco Bandai Games,"Namco Bandai Games, Bandai Namco Games"
True Crime: Streets of LA,GC,2003,Action,Activision,Exakt
Odin Sphere,PS2,2007,Role-Playing,Square Enix,Vanilla Ware
Petz Wild Animals: Tigerz,DS,2008,Simulation,Ubisoft,Magic Pockets
The Incredible Hulk,GBA,2003,Action,Universal Interactive,
Ms. Pac-Man Maze Madness,GBA,2004,Puzzle,Zoo Digital Publishing,Full-Fat
Xenoblade Chronicles,3DS,2015,Role-Playing,Nintendo,
Titanfall,PC,2014,Shooter,Electronic Arts,Respawn Entertainment
Arena Football,PS2,2006,Sports,Electronic Arts,EA Tiburon
The Lord of the Rings: The Return of the King,GBA,2003,Action,Electronic Arts,Griptonite Games
NHL Hitz 20-02,PS2,2001,Sports,Midway Games,Black Box
The Legend of Spyro: Dawn of the Dragon,Wii,2008,Platform,Vivendi Games,Etranges Libellules
Classic NES Series: Dr. Mario,GBA,2004,Puzzle,Nintendo,Nintendo
The Sims: Bustin' Out,XB,2003,Simulation,Electronic Arts,Maxis
NCAA March Madness 07,PS2,2007,Sports,Electronic Arts,EA Canada
"Monsters, Inc. Scream Team",PS,2001,Platform,Sony Computer Entertainment,Artificial Mind and Movement
"Warhammer 40,000: Space Marine",X360,2011,Shooter,THQ,Relic
Harry Potter Collection,PS2,2006,Misc,Electronic Arts,Electronic Arts
Top Spin 3,X360,2008,Action,Take-Two Interactive,Pam Development
Yu-Gi-Oh! World Championship Tournament 2004,GBA,2004,Misc,Konami Digital Entertainment,
Cabela's Big Game Hunter 2005 Adventures,PS2,2004,Sports,Activision,Sand Grain Studios
LEGO Rock Band,X360,2009,Misc,Warner Bros. Interactive Entertainment,TT Fusion
Knockout Kings 2001,PS2,2001,Fighting,Electronic Arts,Black Ops Entertainment
Army Men: Sarge's Heroes,PS,1999,Action,3DO,
Petz Dogz 2,PS2,2007,Simulation,Ubisoft,Ubisoft
Battlefield 2: Modern Combat,XB,2005,Shooter,Electronic Arts,Digital Illusions
Tom Clancy's HAWX,PS3,2009,Action,Ubisoft,Ubisoft Romania
All-Star Baseball 2002,PS2,2001,Sports,Acclaim Entertainment,Acclaim Studios Austin
Backyard NFL Football,GBA,2002,Sports,Infogrames,
Minecraft: Story Mode,XOne,2015,Adventure,Mojang,
Jillian Michaels Fitness Ultimatum 2010,Wii,2009,Sports,Majesco Entertainment,Collision Studios
Need for Speed: Most Wanted,GC,2005,Racing,Electronic Arts,EA Canada
NASCAR Rumble,PS,2000,Racing,Electronic Arts,
Bolt,Wii,2008,Adventure,Disney Interactive Studios,Avalanche Software
WWE Raw 2,XB,2003,Fighting,THQ,Anchor
Resident Evil 2,N64,1999,Action,Virgin Interactive,
Mega Man X2,SNES,1993,Platform,Laguna,
Manhunt 2,PS2,2007,Action,Take-Two Interactive,Rockstar London
Fullmetal Alchemist and the Broken Angel,PS2,2003,Role-Playing,Square Enix,Racjin
Tony Hawk's Project 8,PSP,2006,Sports,Activision,Page 44 Studios
Hamtaro: Ham-Hams Unite!,GB,2001,Role-Playing,Nintendo,
Batman Begins,PS2,2005,Action,Electronic Arts,Eurocom Entertainment Software
Dogz,DS,2006,Simulation,Ubisoft,MTO
Yokai Sangokushi,3DS,2016,Action,Level 5,
Tony Hawk's Proving Ground,X360,2007,Sports,Activision,Neversoft Entertainment
Dr. Seuss' The Cat in the Hat,PS2,2003,Misc,Vivendi Games,Magenta Software
Barbie Groovy Games,GBA,2002,Misc,Universal Interactive,Digital Illusions
Wolfenstein,X360,2009,Shooter,Activision,"id Software, Raven Software"
Yu-Gi-Oh! Reshef of Destruction,GBA,2003,Strategy,Konami Digital Entertainment,
Blinx: The Time Sweeper,XB,2002,Platform,Microsoft Game Studios,Artoon
ESPN NFL Football,PS2,2003,Sports,Sega,Visual Concepts
Fatal Fury Special,SNES,1994,Fighting,Takara,
Major League Baseball 2K5,XB,2005,Sports,Take-Two Interactive,Kush Games
Tetris Party Deluxe,Wii,2010,Puzzle,Nintendo,"Tetris Online, Inc"
DS Bimoji Training,DS,2008,Misc,Nintendo,
Gravity Rush,PSV,2012,Action,Sony Computer Entertainment,SCE Japan Studio
Quantum Break,XOne,2016,Action,Microsoft Game Studios,Remedy Entertainment
Archer Maclean's Mercury,PSP,2005,Puzzle,Ignition Entertainment,Awesome Studios
TMNT,X360,2007,Action,Ubisoft,Ubisoft Montreal
Middle-Earth: Shadow of Mordor,PS3,2014,Action,Warner Bros. Interactive Entertainment,Behaviour Interactive
Soldier of Fortune: Gold Edition,PS2,2001,Shooter,Codemasters,Pipe Dream Interactive
FIFA 15,Wii,2014,Sports,Electronic Arts,EA Sports
Final Fantasy IV: The Complete Collection,PSP,2011,Role-Playing,Square Enix,Bullets
Frontlines: Fuel of War,X360,2008,Shooter,THQ,Kaos Studios
MX 2002 Featuring Ricky Carmichael,PS2,2001,Racing,THQ,Pacific Coast Power & Light
NCAA Football 07,XB,2006,Sports,Electronic Arts,EA Sports
Lunar: Silver Star Story Complete,PS,1998,Role-Playing,Kadokawa Shoten,Game Arts
Harvest Moon: The Tale of Two Towns,DS,2010,Simulation,Natsume,Marvelous Entertainment
No More Heroes,Wii,2007,Action,Rising Star Games,Grasshopper Manufacture
NBA Showtime: NBA on NBC,PS,1999,Sports,Midway Games,
NHL 14,PS3,2013,Sports,Electronic Arts,Electronic Arts
God of War: Origins Collection,PS3,2011,Action,Sony Computer Entertainment,Ready at Dawn
Dora The Explorer: Dora Saves the Snow Princess,Wii,2008,Platform,Take-Two Interactive,High Voltage Software
Soul Reaver 2,PS2,2001,Action,Eidos Interactive,Crystal Dynamics
Metal Gear Solid 3: Subsistence,PS2,2005,Action,Konami Digital Entertainment,Aspect
The Godfather (old US sales),XB,2006,Action,Electronic Arts,
Enslaved: Odyssey to the West,PS3,2010,Action,Namco Bandai Games,Ninja Theory
Daytona USA,SAT,1994,Racing,Sega,
WWF Raw,XB,2002,Fighting,THQ,Anchor
Shin Super Robot Taisen,PS,1996,Role-Playing,Banpresto,
Jump Super Stars,DS,2005,Fighting,Nintendo,
Guitar Hero Live,XOne,2015,Misc,Activision,FreeStyleGames
The Activision Decathlon,2600,1982,Sports,Activision,
Simple 1500 Series Vol. 73: The Invaders ~Space Invaders 1500~,PS,2001,Shooter,D3Publisher,
Fighting Force 2,PS,1999,Action,Eidos Interactive,
Sakura Wars,SAT,1996,Adventure,Sega,
Catz,DS,2006,Simulation,Ubisoft,Powerhead Games
Extermination,PS2,2001,Action,Sony Computer Entertainment,Deep Space
Batman: Vengeance,PS2,2001,Adventure,Ubisoft,Ubisoft
Ratchet & Clank: Quest for Booty,PS3,2008,Platform,Sony Computer Entertainment,
Derby Stallion 04,PS2,2004,Sports,Enterbrain,
Rapala Tournament Fishing!,Wii,2006,Sports,Activision,
Hot Shots Golf: World Invitational,PSV,2011,Sports,Sony Computer Entertainment,Clap Hanz
Tony Hawk's Pro Skater 3,XB,2002,Sports,Activision,Neversoft Entertainment
Mega Man Zero,GBA,2002,Platform,Capcom,Inti
Contender 2,PS,2000,Fighting,3DO,Bam Entertainment
Resident Evil: Revelations 2,PS4,2015,Action,Capcom,Capcom
Star Wars: Dark Forces,PS,1996,Shooter,LucasArts,
LEGO Dimensions,PS3,2015,Action,Warner Bros. Interactive Entertainment,
NBA 2K8,PS3,2007,Sports,Take-Two Interactive,Visual Concepts
Rayman Origins,Wii,2011,Platform,Ubisoft,UBlart Montpellier
The Amazing Spider-Man 2 (2014),PS4,2014,Action,Activision,
SD Gundam G Generation Zero,PS,1999,Strategy,Namco Bandai Games,
Assassin's Creed: Unity,PC,2014,Action,Ubisoft,"Ubisoft, Ubisoft Montreal"
MX vs. ATV: Alive,X360,2011,Racing,THQ,THQ Digital Studio Phoenix
Super Robot Taisen F,SAT,1997,Strategy,Banpresto,
Shrek 2,XB,2004,Platform,Activision,"Luxoflux, Inc."
Purr Pals,DS,2007,Simulation,THQ,Brain Toys
Assassin's Creed II,PC,2010,Action,Ubisoft,Ubisoft Montreal
Soccer Tsuku 2002: J-League Pro Soccer Club o Tsukurou!,PS2,2002,Sports,Sega,
Secret Agent Clank(US sales),PSP,2008,Platform,Sony Computer Entertainment,
SpongeBob SquarePants: SuperSponge,GBA,2001,Action,THQ,
Super Robot Taisen F Kanketsuhen,SAT,1998,Strategy,Banpresto,
Tak and the Power of Juju,GBA,2003,Platform,THQ,Avalanche Software
Madagascar: Escape 2 Africa,Wii,2008,Action,Activision,
Lips: Number One Hits,X360,2009,Misc,Microsoft Game Studios,iNiS
Mortal Kombat 3,PS,1995,Fighting,Sony Computer Entertainment,
Star Wars Battlefront (2015),PC,2015,Shooter,Electronic Arts,
Turok: Evolution,XB,2002,Shooter,Acclaim Entertainment,Acclaim
Grease,Wii,2010,Misc,505 Games,
Jak X: Combat Racing,PS2,2005,Racing,Sony Computer Entertainment,Naughty Dog
Donkey Kong Jungle Climber,DS,2007,Platform,Nintendo,
American Idol,PS2,2003,Misc,Codemasters,Hothouse Creations
Top Gun: Fire at Will!,PS,1996,Misc,Microprose,
Barbie Horse Adventures: Riding Camp,DS,2008,Sports,Activision,Activision
Red Dead Revolver,XB,2004,Shooter,Take-Two Interactive,Rockstar San Diego
CrossworDS,DS,2008,Puzzle,Deep Silver,Nuevo Retro Games
Viva Pinata: Pocket Paradise,DS,2008,Simulation,THQ,Rare Ltd.
Petz Catz Clan,DS,2008,Simulation,Ubisoft,Digital Kids
ZhuZhu Pets 2: Featuring The Wild Bunch,DS,2010,Simulation,Activision,Activision
Sly Cooper: Thieves in Time,PS3,2013,Platform,Sony Computer Entertainment Europe,Sanzaru Games
Iron Man,PS2,2008,Action,Sega,Artificial Mind and Movement
SingStar Summer Party,PS2,2008,Misc,Sony Computer Entertainment,
Spec Ops: The Line,PS3,2012,Shooter,Take-Two Interactive,Yager
The SpongeBob SquarePants Movie,XB,2004,Platform,THQ,Heavy Iron Studios
F1 2013,PS3,2013,Racing,Codemasters,Codemasters Birmingham
FIFA Soccer 07,XB,2006,Sports,Electronic Arts,
Gekikuukan Pro Yakyuu: At the End of the Century 1999,PS2,2000,Sports,SquareSoft,
Legends of WrestleMania,PS3,2009,Fighting,THQ,Yuke's
Are You Smarter than a 5th Grader? Make the Grade,Wii,2008,Misc,THQ,THQ
Tiger Woods PGA Tour 08,X360,2007,Sports,Electronic Arts,EA Salt Lake
Medarot 2: Kabuto / Kuwagata Version,GB,1999,Role-Playing,Imagineer,
Dance Dance Revolution Ultramix,XB,2003,Simulation,Konami Digital Entertainment,Konami Computer Entertainment Hawaii
Crash Tag Team Racing,PS2,2005,Racing,Vivendi Games,Radical Entertainment
