name,na_sales,eu_sales,jp_sales,other_sales,global_sales,critic_score,critic_count,user_score,user_count,rating
Vanquish,0.19,0.16,0.03,0.04,0.42,84,70,8.4,182,M
Solitaire Overload,0.39,0.0,0.0,0.03,0.42,,,9.2,12,E
TRON: Evolution,0.27,0.09,0.0,0.05,0.42,58,47,6.2,28,T
Lord of the Rings: The Third Age,0.31,0.09,0.0,0.01,0.42,,,,,
Pirates of the Caribbean: At World's End,0.2,0.16,0.0,0.05,0.42,54,10,7,10,T
Mega Man Legends 2,0.17,0.12,0.1,0.03,0.42,76,10,8.8,29,E
X-Men vs. Street Fighter,0.16,0.11,0.12,0.03,0.42,,,,,
Blazing Angels: Squadrons of WWII,0.36,0.02,0.0,0.03,0.42,66,58,7.9,53,T
Zack & Wiki: Quest for Barbaros' Treasure,0.18,0.16,0.03,0.04,0.42,,,,,
High Rollers Casino,0.2,0.16,0.0,0.05,0.42,,,tbd,,E
TERA,0.25,0.12,0.0,0.05,0.42,77,41,6.8,742,M
Attack on Titan: Humanity in Chains,0.0,0.0,0.42,0.0,0.42,46,22,4.5,34,M
The Suffering,0.2,0.16,0.0,0.05,0.42,77,47,8.9,40,M
Cyber Troopers Virtual-On,0.0,0.0,0.42,0.0,0.42,,,,,
Star Wars Starfighter: Special Edition,0.3,0.1,0.0,0.02,0.42,76,22,tbd,,T
Animal Crossing: Amiibo Festival,0.19,0.11,0.09,0.03,0.41,46,20,4.4,173,E
NBA Jam,0.2,0.16,0.0,0.05,0.41,,,,,
Zone of the Enders: The 2nd Runner,0.15,0.12,0.11,0.04,0.41,82,33,8.9,65,M
Just Dance 2014,0.19,0.16,0.0,0.07,0.41,75,4,5.5,51,E10+
Jampack Spring 2004 (RP-T),0.2,0.16,0.0,0.05,0.41,,,,,
Dexter's Laboratory Deesaster Strikes,0.3,0.11,0.0,0.01,0.41,,,,,
NFL GameDay 2004,0.2,0.16,0.0,0.05,0.41,65,25,8.7,6,E
Condemned: Criminal Origins,0.36,0.02,0.0,0.03,0.41,81,72,8.2,146,M
Scooby-Doo and the Cyber Chase,0.3,0.11,0.0,0.01,0.41,,,,,
Wheel of Fortune,0.39,0.0,0.0,0.03,0.41,,,tbd,,E
Tomb Raider: The Last Revelation,0.41,0.0,0.0,0.0,0.41,,,8.6,50,T
pro evolution soccer 2011,0.04,0.21,0.05,0.11,0.41,,,6.7,7,E
Sega Rally Championship 2,0.0,0.0,0.41,0.0,0.41,,,,,
Quake II,0.23,0.16,0.0,0.03,0.41,,,,,
Crash of the Titans,0.34,0.01,0.0,0.06,0.41,70,12,5.9,48,E10+
EA Sports UFC 2,0.24,0.14,0.0,0.04,0.41,76,42,6,77,T
MLB 10: The Show,0.2,0.16,0.0,0.05,0.41,,,tbd,,E
Wheel of Fortune: 2nd Edition,0.23,0.16,0.0,0.03,0.41,,,,,
Tom Clancy's Rainbow Six: Lockdown,0.26,0.13,0.0,0.02,0.41,74,39,6.6,28,M
Mobile Suit Gundam: Gundam vs. Gundam NEXT PLUS,0.0,0.0,0.41,0.0,0.41,,,,,
Cool Boarders 2001,0.23,0.16,0.0,0.03,0.41,56,10,tbd,,E
Grudge Warriors,0.23,0.16,0.0,0.03,0.41,,,,,
Farming Simulator 17,0.05,0.31,0.0,0.06,0.41,69,17,8.7,12,E
World Soccer Jikkyou Winning Eleven 2000: U-23 Medal heno Chousen,0.0,0.0,0.39,0.03,0.41,,,,,
Castlevania: The Dracula X Chronicles,0.22,0.09,0.04,0.07,0.41,80,43,7.8,62,T
Mobile Suit Gundam,0.0,0.0,0.41,0.0,0.41,,,,,
Tom Clancy's HAWX 2,0.21,0.12,0.03,0.05,0.41,70,30,6.8,19,T
Battlefield: Hardline,0.13,0.15,0.07,0.06,0.41,,,5.3,81,M
Jimmy Neutron: Boy Genius,0.2,0.16,0.0,0.05,0.41,,,5.8,5,E
Itadaki Street DS,0.0,0.0,0.41,0.0,0.41,,,,,
X-Men: The Official Game,0.2,0.16,0.0,0.05,0.41,52,44,7.5,20,T
Terraria,0.07,0.2,0.09,0.05,0.41,81,12,7.9,70,T
LEGO Dimensions,0.22,0.15,0.0,0.04,0.41,80,12,6.9,27,E10+
Football Manager Handheld 2011,0.0,0.27,0.0,0.14,0.41,77,5,7.7,6,E
300: March to Glory,0.27,0.08,0.0,0.07,0.41,55,31,7.1,14,M
Marvel Super Hero Squad,0.36,0.02,0.0,0.03,0.41,61,4,2.8,4,E10+
Call of Duty: Modern Warfare: Mobilized,0.36,0.02,0.0,0.03,0.41,,,,,
NHL 15,0.31,0.06,0.0,0.04,0.41,59,22,3.2,180,E10+
E0: Enemy Zero,0.0,0.0,0.41,0.0,0.41,,,,,
Tom Clancy's The Division,0.22,0.15,0.0,0.04,0.41,79,33,5.8,1188,M
Yu-Gi-Oh! GX: Tag Force 2,0.03,0.19,0.1,0.1,0.41,,,,,
Nicktoons: Unite!,0.34,0.01,0.0,0.06,0.41,,,,,
JumpStart: Escape from Adventure Island,0.38,0.0,0.0,0.03,0.41,68,8,tbd,,E
Green Day: Rock Band,0.19,0.15,0.0,0.06,0.41,76,41,6.3,24,T
NASCAR Racing,0.23,0.16,0.0,0.03,0.41,,,,,
FIFA 14,0.08,0.23,0.01,0.09,0.41,,,1.8,69,E
Monotaro Dentetsu 2010: Sengoku Ishin no Hero Daishuugou! no Maki,0.0,0.0,0.41,0.0,0.41,,,,,
Cars: Race-O-Rama,0.29,0.07,0.0,0.06,0.41,,,tbd,,E
Boku no Natsuyasumi 2: Umi no Bouken Hen,0.0,0.0,0.41,0.0,0.41,,,,,
F1 2014,0.07,0.26,0.02,0.06,0.41,62,19,4.1,28,E
Command & Conquer: Red Alert,0.23,0.16,0.0,0.03,0.41,,,,,
Cars: Mater-National Championship,0.37,0.01,0.0,0.03,0.41,63,8,4.8,4,E
Call of Duty: Black Ops II,0.2,0.18,0.0,0.03,0.41,81,31,6.9,228,M
Ogre Battle 64: Person of Lordly Caliber,0.1,0.02,0.25,0.04,0.41,,,,,
Superman: The New Superman Adventures,0.33,0.07,0.0,0.0,0.41,,,,,
Dig Dug,0.0,0.0,0.41,0.0,0.41,,,,,
BioShock,0.01,0.39,0.0,0.02,0.41,96,44,8.5,3606,M
The Terminator: Dawn of Fate,0.2,0.16,0.0,0.05,0.41,58,17,5.7,18,T
Rogue Galaxy: Director's Cut,0.2,0.16,0.0,0.05,0.41,,,,,
Armored Core,0.13,0.09,0.16,0.03,0.41,,,,,
The Smurfs,0.23,0.14,0.0,0.04,0.41,,,tbd,,E
Densha De Go! 2,0.0,0.0,0.38,0.03,0.41,,,,,
Medal of Honor Heroes 2,0.33,0.04,0.01,0.03,0.41,73,37,7.6,82,T
Top Spin 4,0.15,0.22,0.0,0.04,0.41,84,54,8.2,70,E
James Patterson Women's Murder Club: Games of Passion,0.15,0.22,0.0,0.05,0.41,53,8,tbd,,T
Band Hero,0.15,0.06,0.0,0.2,0.41,,,4.4,7,E10+
Armored Core 2: Another Age,0.11,0.08,0.19,0.03,0.41,75,16,8.8,30,T
Buzz! Junior: Jungle Party,0.2,0.16,0.0,0.05,0.41,,,,,
God Eater 2: Rage Burst,0.0,0.03,0.37,0.01,0.41,,,8.1,16,T
Mortal Kombat: Deadly Alliance,0.31,0.08,0.0,0.01,0.41,81,20,8.7,43,M
NBA 2K11,0.34,0.01,0.0,0.06,0.41,,,tbd,,E
AKB1/48: Idol to Koishitara...,0.0,0.0,0.41,0.0,0.41,,,,,
Pro Pinball,0.23,0.15,0.0,0.03,0.41,,,,,
NiGHTS: Journey of Dreams,0.32,0.02,0.04,0.03,0.41,69,47,8.5,55,E
'98 Koshien,0.15,0.1,0.12,0.03,0.41,,,,,
Harvest Moon: Grand Bazaar,0.21,0.05,0.13,0.02,0.41,,,,,
NBA 2K9,0.34,0.01,0.0,0.06,0.41,,,8,4,E
Yu-Gi-Oh! The Eternal Duelist Soul (JP sales),0.0,0.0,0.4,0.01,0.41,,,,,
Up,0.24,0.09,0.0,0.07,0.41,,,tbd,,E
Hatsune Miku: Project Diva 2nd,0.0,0.0,0.41,0.0,0.41,,,,,
Marvel: Ultimate Alliance 2,0.23,0.02,0.0,0.16,0.41,,,4.6,15,T
Monster Jam: Urban Assault,0.38,0.0,0.0,0.03,0.41,,,7.8,6,E
Call of Duty: Advanced Warfare,0.15,0.23,0.0,0.03,0.41,78,18,4.5,1136,M
Mario no Super Picross,0.0,0.0,0.41,0.0,0.41,,,,,
UEFA Euro 2008 Austria-Switzerland,0.08,0.26,0.0,0.06,0.41,,,,,
"Ed, Edd n Eddy: The Mis-Edventures",0.34,0.01,0.0,0.06,0.41,50,5,7.6,16,E
Jikkyou Powerful Pro Yakuu '94,0.0,0.0,0.41,0.0,0.41,,,,,
Disney's Tarzan Untamed,0.2,0.16,0.0,0.05,0.41,59,7,7.1,7,E
WWE All Stars,0.16,0.18,0.0,0.07,0.41,75,51,6.4,36,T
Green Day: Rock Band,0.24,0.13,0.0,0.04,0.41,75,54,6.6,32,T
Harry Potter and the Deathly Hallows - Part 1,0.19,0.18,0.0,0.04,0.41,56,6,6,4,E10+
Resistance: Burning Skies,0.18,0.15,0.02,0.06,0.41,60,63,6.8,245,M
Battlefield 2: Modern Combat,0.35,0.02,0.01,0.03,0.41,77,54,7.3,79,T
Rocksmith 2014,0.29,0.08,0.0,0.04,0.41,,,,,
Knockout Kings 2001,0.23,0.15,0.0,0.03,0.41,84,11,8.5,6,T
From Russia With Love,0.34,0.01,0.0,0.06,0.41,69,29,7.6,36,T
Fantastic Pets,0.3,0.08,0.0,0.03,0.41,66,11,7.5,4,E
BlazBlue: Continuum Shift,0.21,0.07,0.09,0.04,0.41,87,29,8,65,T
Duke Nukem Forever,0.18,0.17,0.0,0.06,0.41,54,48,5.7,1183,M
Dragon Quest X,0.0,0.0,0.41,0.0,0.41,,,,,
Minority Report: Everybody Runs,0.2,0.15,0.0,0.05,0.41,50,26,5,14,T
Katamari Forever,0.26,0.04,0.06,0.04,0.4,74,51,8.1,50,E
Disney's Hercules / Disney's The Jungle Book: Groove Party / A Bug's Life,0.23,0.15,0.0,0.03,0.4,,,,,
NFL GameDay 2002,0.23,0.15,0.0,0.03,0.4,62,10,8.8,4,E
Pengo,0.38,0.02,0.0,0.0,0.4,,,,,
Spider-Man: Web of Shadows,0.36,0.02,0.0,0.03,0.4,68,57,8.6,87,T
Naughty Bear,0.21,0.15,0.0,0.04,0.4,43,51,5.6,70,T
Mouse Trap,0.38,0.02,0.0,0.0,0.4,,,,,
Tak and the Power of Juju,0.31,0.08,0.0,0.01,0.4,71,16,8.2,9,E
Six Flags Fun Park,0.27,0.09,0.0,0.04,0.4,43,7,7.1,7,E10+
Just Dance Kids 2,0.29,0.08,0.0,0.03,0.4,,,tbd,,E
Beowulf: The Game,0.36,0.01,0.0,0.03,0.4,51,23,4.7,30,M
NBA Jam,0.36,0.02,0.0,0.02,0.4,79,43,8.5,20,E
Rune Factory 3: A Fantasy Harvest Moon,0.26,0.03,0.1,0.02,0.4,77,10,8.6,46,E
Dragon Quest Builders: Revive Alefgard,0.04,0.11,0.22,0.03,0.4,,,,,
Star Wars The Clone Wars: Republic Heroes,0.21,0.12,0.0,0.07,0.4,,,tbd,,T
Tales of Zestiria,0.17,0.15,0.02,0.06,0.4,72,59,6.8,315,T
Metal Gear Solid: The Legacy Collection,0.31,0.01,0.03,0.06,0.4,93,4,9,255,M
Medarot: Kabuto / Kuwagata Version,0.0,0.0,0.4,0.0,0.4,,,,,
NBA 2K10,0.33,0.01,0.0,0.05,0.4,,,8.6,11,E
Defender,0.2,0.15,0.0,0.05,0.4,73,24,7.8,6,T
NFL GameDay 2003,0.2,0.15,0.0,0.05,0.4,60,23,tbd,,E
TNA iMPACT!,0.22,0.12,0.0,0.06,0.4,,,,,
Taiko no Tatsujin Wii: Dodon to 2 Yome!,0.0,0.0,0.4,0.0,0.4,,,,,
Congo Bongo,0.37,0.02,0.0,0.0,0.4,,,,,
Gauntlet: Seven Sorrows,0.2,0.15,0.0,0.05,0.4,59,38,5.7,20,T
Harry Potter: Quidditch World Cup,0.31,0.08,0.0,0.01,0.4,68,16,8.5,10,E
Warriors Orochi 2 (JP sales),0.0,0.0,0.4,0.0,0.4,,,,,
Cabela's Big Game Hunter 2010,0.37,0.0,0.0,0.03,0.4,,,5,9,T
Overlord,0.34,0.03,0.01,0.03,0.4,76,47,8.3,70,T
The Chronicles of Narnia: Prince Caspian,0.2,0.15,0.0,0.05,0.4,67,6,7,8,T
The Incredibles: Rise of the Underminer,0.29,0.11,0.0,0.01,0.4,,,tbd,,E
Life is Strange,0.15,0.15,0.03,0.06,0.4,85,23,8.6,672,M
Pet in TV,0.0,0.0,0.38,0.03,0.4,,,,,
Battalion Wars,0.25,0.07,0.07,0.01,0.4,76,43,8.8,18,T
NBA ShootOut 2000,0.22,0.15,0.0,0.03,0.4,,,,,
Power Rangers: Dino Thunder,0.31,0.08,0.0,0.01,0.4,49,6,tbd,,E
Samurai Shodown,0.0,0.0,0.4,0.0,0.4,,,,,
Mass Effect Trilogy,0.28,0.09,0.0,0.03,0.4,,,7.4,30,M
The Wonderful 101,0.19,0.1,0.08,0.03,0.4,78,75,8.5,495,T
SpongeBob SquigglePants,0.35,0.02,0.0,0.03,0.4,59,12,tbd,,E
Fighting Vipers,0.0,0.0,0.4,0.0,0.4,,,,,
Yu-Gi-Oh! 5D's Stardust Accelerator: World Championship 2009,0.27,0.01,0.09,0.03,0.4,,,,,
NCAA GameBreaker 2000,0.22,0.15,0.0,0.03,0.4,,,,,
Asura's Wrath,0.18,0.12,0.06,0.05,0.4,71,39,7.4,169,T
Freeway,0.32,0.02,0.0,0.0,0.34,,,,,
The Legend of Spyro: Dawn of the Dragon,0.12,0.01,0.0,0.27,0.4,,,7.1,25,E10+
AKB1/48: Idol to Guam de Koishitara...,0.0,0.0,0.4,0.0,0.4,,,,,
NFL Quarterback Club 2000,0.37,0.03,0.0,0.0,0.4,,,,,
Mortal Kombat Mythologies: Sub-Zero,0.32,0.07,0.0,0.0,0.4,,,,,
RR64: Ridge Racer 64,0.32,0.07,0.0,0.0,0.4,,,,,
Top Gear Rally,0.32,0.07,0.0,0.0,0.4,,,,,
18 Wheeler: American Pro Trucker,0.2,0.15,0.0,0.05,0.4,61,11,5.7,18,E
"Transformers: Revenge of the Fallen (XBox 360, PS3, & PC Versions)",0.17,0.14,0.0,0.08,0.4,,,,,
Wall-E,0.12,0.21,0.0,0.08,0.4,51,24,5,7,E
Atari Anthology,0.33,0.01,0.0,0.05,0.4,66,12,4.3,6,E
FIFA 14,0.01,0.36,0.0,0.03,0.4,87,6,4.6,441,E
Bugs Bunny: Lost in Time,0.22,0.15,0.0,0.03,0.4,,,,,
Hot Wheels: Beat That!,0.2,0.15,0.0,0.05,0.4,,,tbd,,E
MLB 2006,0.33,0.01,0.0,0.05,0.4,81,32,9,21,E
Ragnarok Odyssey,0.2,0.01,0.16,0.03,0.4,66,21,7.8,111,T
Brunswick Pro Bowling,0.2,0.15,0.0,0.05,0.4,,,tbd,,E
The Gunstringer,0.26,0.1,0.0,0.04,0.4,77,60,8.1,40,T
Rocket Power: Dream Scheme,0.29,0.11,0.0,0.01,0.4,,,,,
Marvel: Ultimate Alliance,0.36,0.0,0.0,0.03,0.4,73,31,7.3,29,T
LEGO Harry Potter: Years 5-7,0.18,0.19,0.0,0.03,0.4,71,7,6.5,11,E10+
My Virtual Tutor: Reading Adventure First to Second Grade,0.37,0.0,0.0,0.03,0.4,,,,,
MX vs. ATV Unleashed,0.32,0.07,0.0,0.01,0.4,80,21,8.3,13,E
FIFA Soccer 13,0.02,0.31,0.0,0.07,0.4,86,7,6.6,286,E
Rampage: Total Destruction,0.31,0.08,0.0,0.01,0.4,57,24,6.7,6,E10+
Style Lab: Makeover,0.34,0.03,0.0,0.03,0.4,,,tbd,,E
The Urbz: Sims in the City,0.24,0.14,0.0,0.02,0.4,73,19,8.4,16,T
Road Rash: Jailbreak,0.22,0.15,0.0,0.03,0.4,,,,,
Disney Sing It! High School Musical 3: Senior Year,0.08,0.26,0.0,0.06,0.4,,,,,
Mother 3,0.0,0.0,0.39,0.01,0.4,,,,,
Nicktoons: Freeze Frame Frenzy,0.29,0.11,0.0,0.01,0.4,53,4,tbd,,E
Monster Trucks Mayhem,0.38,0.0,0.0,0.02,0.4,,,tbd,,E
You Don't Know Jack,0.22,0.15,0.0,0.03,0.4,,,,,
Rapala Pro Bass Fishing 2010,0.32,0.05,0.0,0.03,0.4,,,tbd,,E
WWE SmackDown! vs. RAW 2006,0.36,0.0,0.0,0.03,0.4,81,30,8.5,37,T
Mafia II,0.17,0.17,0.0,0.05,0.4,77,46,7.9,1238,M
Avatar: The Game,0.18,0.18,0.0,0.04,0.4,,,,,
Mystery Dungeon: Shiren the Wanderer,0.0,0.0,0.4,0.0,0.4,,,,,
Pro Evolution Soccer 2016,0.09,0.12,0.15,0.04,0.4,,,7.2,40,E
Star Wars: Clone Wars,0.31,0.08,0.0,0.01,0.4,,,,,
NBA Live 2002,0.35,0.03,0.0,0.02,0.4,76,15,7.5,6,E
Sega Superstars Tennis,0.13,0.2,0.0,0.07,0.4,67,31,7.4,7,E10+
Spore Hero,0.35,0.02,0.0,0.03,0.4,61,23,7.1,36,E10+
Winter Sports 2: The Next Challenge,0.17,0.18,0.0,0.04,0.4,,,tbd,,E
Boku no Natsuyasumi,0.0,0.0,0.37,0.03,0.4,,,,,
I-Ninja,0.19,0.15,0.0,0.05,0.4,73,39,8.3,22,T
"Transformers: The Game (XBox 360, PS2, PS3, Wii & PC Versions)",0.32,0.03,0.01,0.04,0.4,,,,,
Moshi Monsters: Moshlings Theme Park,0.03,0.33,0.0,0.04,0.4,,,tbd,,E
Ghostbusters: The Video Game,0.24,0.12,0.0,0.04,0.4,55,17,6,7,E
Command & Conquer,0.22,0.15,0.0,0.03,0.4,,,,,
Harvest Moon: Save the Homeland,0.19,0.15,0.0,0.05,0.4,76,14,8.8,72,E
SD Gundam G Generation Seed,0.0,0.0,0.4,0.0,0.4,,,,,
Call of Duty: Finest Hour,0.31,0.08,0.0,0.01,0.4,74,31,8.9,13,T
Naruto: Path of the Ninja,0.37,0.0,0.0,0.03,0.4,57,18,7.2,9,E10+
Tales of Phantasia,0.0,0.0,0.4,0.0,0.4,,,,,
Speed Racer: The Videogame,0.35,0.02,0.0,0.03,0.4,,,,,
Castlevania: Portrait of Ruin,0.31,0.02,0.04,0.03,0.4,85,51,8.3,87,T
Suzuki TT Superbikes,0.33,0.01,0.0,0.05,0.4,71,7,8.5,8,E
Rumble Roses,0.19,0.15,0.0,0.05,0.39,66,44,8.5,20,M
Disney Infinity 3.0,0.21,0.15,0.0,0.03,0.39,,,,,
Tomb Raider: Anniversary,0.12,0.22,0.0,0.05,0.39,77,33,8.3,39,T
Sherlock Holmes: The Mystery of the Mummy,0.06,0.3,0.0,0.04,0.39,57,8,3.1,9,E
Fantastic Four: Rise of the Silver Surfer,0.19,0.15,0.0,0.05,0.39,36,7,6.4,17,T
Ultimate Spider-Man,0.26,0.11,0.0,0.02,0.39,77,53,7.4,20,T
Littlest Pet Shop,0.33,0.03,0.0,0.03,0.39,,,tbd,,E
Juiced 2: Hot Import Nights,0.19,0.15,0.01,0.05,0.39,66,4,6.7,10,T
Star Wars The Clone Wars: Republic Heroes,0.22,0.14,0.0,0.04,0.39,,,5.3,4,E10+
NHL 99,0.38,0.01,0.0,0.0,0.39,,,,,
LEGO The Lord of the Rings,0.2,0.16,0.0,0.03,0.39,61,4,7.6,10,E10+
Danball Senki,0.0,0.0,0.39,0.0,0.39,,,,,
No More Heroes 2: Desperate Struggle,0.2,0.11,0.04,0.03,0.39,84,68,8.8,184,M
NASCAR Heat,0.22,0.15,0.0,0.03,0.39,62,5,tbd,,E
Planet 51,0.22,0.14,0.0,0.04,0.39,,,tbd,,E
Bloody Roar,0.22,0.15,0.0,0.03,0.39,,,,,
Bump 'n' Jump,0.37,0.02,0.0,0.0,0.39,,,,,
Mobile Suit Gundam: Lost War Chronicles,0.0,0.0,0.39,0.0,0.39,,,,,
Legends of WrestleMania,0.2,0.15,0.0,0.04,0.39,71,59,6.3,23,T
Fishing Resort,0.14,0.0,0.25,0.01,0.39,69,9,7,8,E
Disney's Brother Bear,0.28,0.1,0.0,0.01,0.39,,,tbd,,E
Armored Core V,0.09,0.04,0.24,0.02,0.39,65,26,7.3,47,T
NBA Live 09,0.32,0.01,0.01,0.05,0.39,,,7.4,14,E
Saints Row IV,0.13,0.18,0.03,0.06,0.39,,,,,
Mass Effect 2,0.01,0.32,0.0,0.06,0.39,94,55,8.8,3559,M
Harry Potter and the Deathly Hallows - Part 1,0.13,0.2,0.0,0.07,0.39,38,27,2.8,23,T
The House of The Dead III,0.29,0.08,0.0,0.01,0.39,72,30,7.3,9,M
Project X Zone,0.18,0.04,0.15,0.02,0.39,70,53,7.3,146,T
NBA Jam,0.22,0.12,0.0,0.06,0.39,71,33,5.7,14,E
Fire Emblem: Fuuin no Tsurugi,0.0,0.0,0.39,0.0,0.39,,,,,
Dishonored,0.12,0.2,0.02,0.06,0.39,,,,,
Dark Souls III,0.26,0.09,0.0,0.04,0.39,87,14,8.6,514,
NBA Jam,0.27,0.09,0.0,0.03,0.39,75,30,7,24,E
Dancing with the Stars: We Dance!,0.36,0.0,0.0,0.03,0.39,,,,,
NBA Live 09,0.23,0.07,0.03,0.06,0.39,,,7.3,8,E
Ener-G: Gym Rockets,0.36,0.0,0.0,0.03,0.39,,,tbd,,E
Laser Blast,0.37,0.02,0.0,0.0,0.39,,,,,
Madden NFL Football,0.36,0.01,0.0,0.03,0.39,49,18,5.3,16,E
Thrasher Presents: Skate and Destroy,0.22,0.15,0.0,0.03,0.39,,,,,
Are You Smarter than a 5th Grader? Make the Grade,0.36,0.0,0.0,0.03,0.39,,,tbd,,E
Donkey Konga 2,0.3,0.08,0.0,0.01,0.39,69,30,6,9,T
SpongeBob's Truth or Square (US sales),0.39,0.0,0.0,0.0,0.39,,,,,
Tear Ring Saga Yutona Eiyuu Senki,0.0,0.0,0.37,0.03,0.39,,,,,
Transformers: Fall of Cybertron,0.19,0.14,0.0,0.06,0.39,77,32,8.2,87,T
Alpha Protocol,0.23,0.12,0.0,0.04,0.39,63,68,7.2,201,M
Metal Gear Solid HD Edition,0.12,0.16,0.05,0.06,0.39,,,,,
FIFA 12,0.08,0.26,0.0,0.05,0.39,,,,,
Taiko no Tatsujin Wii: Ketteiban,0.0,0.0,0.39,0.0,0.39,,,,,
SSX 3,0.29,0.08,0.0,0.01,0.39,92,27,8.7,25,E
Combat of Giants: Dinosaurs 3D,0.25,0.06,0.05,0.03,0.39,44,18,5.3,9,E10+
Madden NFL 2005,0.28,0.1,0.0,0.01,0.39,79,9,7.6,5,E
All-Star Baseball 2000,0.36,0.03,0.0,0.0,0.39,,,,,
Custom Robo V2,0.0,0.0,0.34,0.05,0.39,,,,,
Extreme-G: XG2,0.31,0.07,0.0,0.0,0.39,,,,,
BattleTanx: Global Assault,0.31,0.07,0.0,0.0,0.39,,,,,
Final Fantasy Crystal Chronicles: The Crystal Bearers,0.21,0.07,0.08,0.03,0.39,66,53,7.6,70,T
SpongeBob's Truth or Square (US sales),0.38,0.01,0.0,0.0,0.39,,,,,
Until Dawn: Rush of Blood,0.18,0.15,0.0,0.07,0.39,72,49,8,68,M
Chibi-Robo! Plug into Adventure!,0.23,0.06,0.09,0.01,0.39,,,,,
Sonic Lost World,0.23,0.12,0.01,0.03,0.39,63,64,7.3,461,E10+
Super Monkey Ball: Step & Roll,0.15,0.19,0.0,0.04,0.39,,,,,
Skylanders SWAP Force,0.2,0.12,0.0,0.06,0.39,79,7,5.2,45,E10+
Iron Man 2,0.14,0.18,0.0,0.07,0.39,41,28,5.2,36,T
Jampack Winter 2003 (RP-T),0.19,0.15,0.0,0.05,0.39,,,,,
Star Wars The Clone Wars: Republic Heroes,0.18,0.17,0.0,0.04,0.39,43,37,6.3,19,T
Monster Jam: Urban Assault,0.36,0.0,0.0,0.03,0.39,,,tbd,,E
Kengo: Master of Bushido,0.16,0.13,0.06,0.04,0.39,62,13,8.4,8,M
Blood Omen 2,0.19,0.15,0.0,0.05,0.39,67,18,8.8,19,M
Monopoly Streets,0.16,0.17,0.0,0.06,0.39,64,11,6.1,9,E
Super Fire ProWrestling,0.0,0.0,0.39,0.0,0.39,,,,,
Cabela's Dangerous Hunts 2,0.19,0.15,0.0,0.05,0.39,,,5.6,14,T
Condemned 2: Bloodshot,0.17,0.16,0.0,0.06,0.39,82,37,8.1,89,M
Disney Princess: Enchanting Storybooks,0.25,0.1,0.0,0.03,0.39,,,tbd,,E
Chessmaster,0.19,0.15,0.0,0.05,0.39,79,9,7.3,13,E
Fatal Fury,0.0,0.0,0.39,0.0,0.39,,,,,
From TV Animation One Piece: Yume no Lufy Kaizokudan Tanjou!,0.0,0.0,0.39,0.0,0.39,,,,,
The Darkness II,0.24,0.11,0.0,0.03,0.39,80,71,7.5,219,M
Ice Age 2: The Meltdown,0.19,0.15,0.0,0.05,0.39,68,19,8,6,E10+
The Sims 2,0.28,0.1,0.0,0.01,0.39,58,11,7.5,6,E10+
Hitman: Blood Money,0.29,0.06,0.01,0.03,0.39,82,53,8.7,102,M
Super Famista 3,0.0,0.0,0.39,0.0,0.39,,,,,
Advance Wars: Dual Strike,0.3,0.02,0.04,0.03,0.39,90,49,9,163,E
Auto Modellista,0.19,0.15,0.0,0.05,0.39,66,20,7.5,13,E
WipeOut 3 The Game,0.36,0.0,0.0,0.03,0.39,,,,,
MLB 15: The Show,0.31,0.01,0.0,0.07,0.39,,,8.2,6,E
Tom Clancy's Ghost Recon 2: Summit Strike,0.29,0.08,0.0,0.01,0.39,84,40,7.2,35,T
Tiger Woods PGA Tour 08,0.19,0.15,0.0,0.05,0.39,65,10,tbd,,E
F1 2016 (Codemasters),0.03,0.29,0.01,0.05,0.39,,,,,
Just Dance 2015,0.19,0.13,0.0,0.07,0.39,72,8,5.8,32,E10+
Robert Ludlum's The Bourne Conspiracy,0.18,0.14,0.0,0.06,0.39,70,47,7.6,43,T
Samurai Warriors Chronicles,0.12,0.05,0.2,0.01,0.39,61,30,7.7,35,T
Karaoke Revolution Presents American Idol Encore,0.19,0.15,0.0,0.05,0.39,76,4,tbd,,E
Airlock,0.36,0.02,0.0,0.0,0.39,,,,,
Tokimeki Memorial 2,0.0,0.0,0.36,0.03,0.39,,,,,
Hooked! Again: Real Motion Fishing,0.36,0.0,0.0,0.03,0.39,,,,,
SpongeBob vs The Big One: Beach Party Cook Off,0.24,0.11,0.0,0.04,0.39,,,tbd,,E
One Piece: Unlimited World Red,0.05,0.04,0.28,0.01,0.39,75,5,7.6,26,T
EA Sports Active 2,0.18,0.16,0.0,0.04,0.39,68,21,5.4,9,E
MotoGP 08,0.07,0.24,0.0,0.08,0.39,65,21,6,9,E
Red Faction: Armageddon,0.18,0.16,0.01,0.04,0.39,71,74,7,77,M
Harry Potter: Quidditch World Cup,0.28,0.1,0.0,0.01,0.39,53,6,8.3,9,E
Dungeon Siege III,0.17,0.13,0.03,0.05,0.39,71,52,6.3,86,T
Evil Dead: Fistfull of Boomstick,0.19,0.15,0.0,0.05,0.38,,,,,
Silent Hill: Homecoming,0.18,0.14,0.0,0.06,0.38,71,41,6.9,143,M
Triple Play 97,0.21,0.15,0.0,0.03,0.38,,,,,
Sonic & All-Stars Racing Transformed,0.09,0.2,0.0,0.09,0.38,,,,,
Super Soccer,0.0,0.0,0.38,0.0,0.38,,,,,
Shin Megami Tensei: Nocturne,0.07,0.05,0.25,0.02,0.38,82,42,8.7,83,M
Wario Land II (GBC),0.0,0.0,0.38,0.0,0.38,,,,,
